Character,Transcriptions,Fanqie,Sixtuples,Identifiers
東,tuwng,德紅,通開一平東端,1
菄,tuwng,德紅,通開一平東端,1
鶇,tuwng,德紅,通開一平東端,1
䍶,tuwng;drin;tuwngH,德紅;直珍;多貢,通開一平東端;臻開三平眞澄;通開一去東端,1;415;2096
𠍀,tuwng,德紅,通開一平東端,1
倲,tuwng,德紅,通開一平東端,1
𩜍,tuwng,德紅,通開一平東端,1
𢘐,tuwng,德紅,通開一平東端,1
涷,tuwng;tuwngH,德紅;多貢,通開一平東端;通開一去東端,1;2096
蝀,tuwng;tuwngX,德紅;多動,通開一平東端;通開一上東端,1;1157
凍,tuwng;tuwngH,德紅;多貢,通開一平東端;通開一去東端,1;2096
鯟,tuwng,德紅,通開一平東端,1
𢔅,tuwng,德紅,通開一平東端,1
崠,tuwng,德紅,通開一平東端,1
埬,tuwng,德紅,通開一平東端,1
𧓕,tuwng,德紅,通開一平東端,1
䰤,tuwng,德紅,通開一平東端,1
同,duwng,徒紅,通開一平東定,2
仝,duwng;dzjwen,徒紅;疾緣,通開一平東定;山合三平仙從,2;617
童,duwng,徒紅,通開一平東定,2
僮,duwng,徒紅,通開一平東定,2
銅,duwng,徒紅,通開一平東定,2
桐,duwng,徒紅,通開一平東定,2
峒,duwng;duwngH,徒紅;徒弄,通開一平東定;通開一去東定,2;2101
硐,duwng;duwngX,徒紅;徒揔,通開一平東定;通開一上東定,2;1169
𦨴,duwng,徒紅,通開一平東定,2
𧱁,duwng,徒紅,通開一平東定,2
筒,duwng;duwngH,徒紅;徒弄,通開一平東定;通開一去東定,2;2101
瞳,duwng,徒紅,通開一平東定,2
㼧,duwng,徒紅,通開一平東定,2
𤭁,duwng,徒紅,通開一平東定,2
罿,duwng;tsyhowng,徒紅;尺容,通開一平東定;通開三平鍾昌,2;49
犝,duwng,徒紅,通開一平東定,2
筩,duwng,徒紅,通開一平東定,2
潼,duwng;tsyhowng,徒紅;尺容,通開一平東定;通開三平鍾昌,2;49
曈,duwng;thuwng;thuwngX,徒紅;他紅;他孔,通開一平東定;通開一平東透;通開一上東透,2;29;1161
洞,duwng;duwngH,徒紅;徒弄,通開一平東定;通開一去東定,2;2101
侗,duwng;thuwng;thuwngX,徒紅;他紅;他孔,通開一平東定;通開一平東透;通開一上東透,2;29;1161
橦,duwng;tsyowng;draewng,徒紅;職容;宅江,通開一平東定;通開三平鍾章;江開二平江澄,2;45;82
烔,duwng,徒紅,通開一平東定,2
䴀,duwng,徒紅,通開一平東定,2
挏,duwng;duwngX,徒紅;徒揔,通開一平東定;通開一上東定,2;1169
酮,duwng;duwngX,徒紅;徒揔,通開一平東定;通開一上東定,2;1169
鮦,duwng;drjowngX;drjuwX,徒紅;直隴;除柳,通開一平東定;通開三上鍾澄;流開三上尤澄,2;1176;1942
㼿,duwng;tsyowngH,徒紅;之用,通開一平東定;通開三去鍾章,2;2135
𦏆,duwng,徒紅,通開一平東定,2
𦍻,duwng,徒紅,通開一平東定,2
眮,duwng;duwngX;duwngH,徒紅;徒揔;徒弄,通開一平東定;通開一上東定;通開一去東定,2;1169;2101
蕫,duwng;tuwngX,徒紅;多動,通開一平東定;通開一上東端,2;1157
穜,duwng;drjowng,徒紅;直容,通開一平東定;通開三平鍾澄,2;56
衕,duwng;duwngH,徒紅;徒弄,通開一平東定;通開一去東定,2;2101
𩍅,duwng,徒紅,通開一平東定,2
𢈉,duwng,徒紅,通開一平東定,2
䆚,duwng,徒紅,通開一平東定,2
哃,duwng,徒紅,通開一平東定,2
𢏕,duwng,徒紅,通開一平東定,2
絧,duwng;duwngH,徒紅;徒弄,通開一平東定;通開一去東定,2;2101
𨝯,duwng,徒紅,通開一平東定,2
𨚯,duwng,徒紅,通開一平東定,2
𪔝,duwng,徒紅,通開一平東定,2
𩦶,duwng;downg,徒紅;徒冬,通開一平東定;通開一平冬定,2;36
𪒿,duwng,徒紅,通開一平東定,2
中,trjuwng;trjuwngH,陟弓;陟仲,通開三平東知;通開三去東知,3;2112
衷,trjuwng;trjuwngH,陟弓;陟仲,通開三平東知;通開三去東知,3;2112
忠,trjuwng,陟弓,通開三平東知,3
𦬕,trjuwng;drjuwng,陟弓;直弓,通開三平東知;通開三平東澄,3;4
蟲,drjuwng;drjuwngH,直弓;直衆,通開三平東澄;通開三去東澄,4;2103
沖,drjuwng,直弓,通開三平東澄,4
种,drjuwng,直弓,通開三平東澄,4
盅,drjuwng;trhjuwng,直弓;敕中,通開三平東澄;通開三平東徹,4;6
爞,drjuwng;downg,直弓;徒冬,通開三平東澄;通開一平冬定,4;36
翀,drjuwng,直弓,通開三平東澄,4
終,tsyuwng,職戎,通開三平東章,5
衆,tsyuwng;tsyuwngH,職戎;之仲,通開三平東章;通開三去東章,5;2115
眾,tsyuwng,職戎,通開三平東章,5
潨,tsyuwng;dzuwng;dzowng,職戎;徂紅;藏宗,通開三平東章;通開一平東從;通開一平冬從,5;26;37
𣧩,tsyuwng,職戎,通開三平東章,5
𧑄,tsyuwng,職戎,通開三平東章,5
𩅧,tsyuwng,職戎,通開三平東章,5
䝦,tsyuwng,職戎,通開三平東章,5
䶱,tsyuwng;downg,職戎;徒冬,通開三平東章;通開一平冬定,5;36
䈺,tsyuwng,職戎,通開三平東章,5
螽,tsyuwng,職戎,通開三平東章,5
鼨,tsyuwng,職戎,通開三平東章,5
蔠,tsyuwng,職戎,通開三平東章,5
柊,tsyuwng,職戎,通開三平東章,5
鴤,tsyuwng,職戎,通開三平東章,5
泈,tsyuwng,職戎,通開三平東章,5
忡,trhjuwng,敕中,通開三平東徹,6
浺,trhjuwng,敕中,通開三平東徹,6
崇,dzrjuwng,鋤弓,通開三平東崇,7
崈,dzrjuwng,鋤弓,通開三平東崇,7
㓽,dzrjuwng;dzrjuwngH,鋤弓;仕仲,通開三平東崇;通開三去東崇,7;2117
𩞉,dzrjuwng,鋤弓,通開三平東崇,7
嵩,sjuwng,息弓,通開三平東心,8
崧,sjuwng,息弓,通開三平東心,8
娀,sjuwng,息弓,通開三平東心,8
菘,sjuwng,息弓,通開三平東心,8
硹,sjuwng,息弓,通開三平東心,8
𪀚,sjuwng,息弓,通開三平東心,8
㣝,sjuwng,息弓,通開三平東心,8
𧊕,sjuwng,息弓,通開三平東心,8
𨱿,sjuwng,息弓,通開三平東心,8
